city,country,count
"Bloomfield, Nj",Unknown,2
Chelsea,Unknown,2
"Hanover, Ma",Unknown,2
"Phillips, Me",Unknown,2
"Mattapoisett, Ma",Unknown,2
"Sippican (Marion), Ma",Unknown,2
Barre,USA,2
North Andover,USA,2
Mansfield,USA,2
Waterbury,USA,2
Munson,USA,2
Monroe Co.,USA,2
Kinderhook,USA,2
"Easthampton, Ny",USA,2
"Philadelphia, Pa",USA,2
Lancaster Co.,USA,2
"Lebanon, Nh",Unknown,2
"Acton, Ma",Unknown,2
South Reading,Unknown,2
Hanson,Unknown,2
Delaware,USA,2
"Frankfort, Me",Unknown,2
Spain,Unknown,2
Kennebunk,Unknown,2
Fair Haven,Unknown,2
"Schoharie, Ny",Unknown,2
"Holton, Me",Unknown,2
"Russia, Ny",Unknown,2
"Winchester, Nh",Unknown,2
"Walton, Ny",Unknown,2
"Frankfort, Pa",Unknown,2
"Starks, Me",Unknown,2
"Naugatuck, Ct",Unknown,2
"Georgetown, Ny",Unknown,2
Wayne,Unknown,2
Pawcatuck,USA,2
Keene,USA,2
Cincinatti,USA,2
Hillsdale,USA,2
New London,Usa (Naturalized),2
St. Johns,USA,2
Swanzey,Unknown,2
Norton,Unknown,2
Huntington,Unknown,2
"Fairfield, Ct",Unknown,2
"Amsterdam, Ny",Unknown,2
Swansea,Unknown,2
"Clinton, Ny",Unknown,2
"East Hampton, Ny",Unknown,2
West Troy,Unknown,2
Peekskill,Unknown,2
Bucksport,Unknown,2
"Whatley, Ma",Unknown,2
Farmington,Unknown,2
Durham,Unknown,2
Toronto,Unknown,2
"Dorset, Vt",Unknown,2
"Holstein, Germany",Unknown,2
Reading,Unknown,2
Enfield,Unknown,2
"South Kingston, Ri",Unknown,2
"Springfield, Il",Unknown,2
"Upper Fall River, Ma",Unknown,2
"Lanesborough, Ma",Unknown,2
Norristown,Unknown,2
Hellentown,Unknown,2
Poland,Unknown,2
"Springport, Ny",Unknown,2
"Onandaga, Ny",Unknown,2
"Clyde, Ny",Unknown,2
Dracut,Unknown,2
Staten Island,Unknown,2
"Port Richmond,Staten Island",Unknown,2
"Pomfret, Ct",Unknown,2
"Nassau, Ny",Unknown,2
Pottsville,Unknown,2
"Concord, Ma",Unknown,2
Newton,Unknown,2
Briton,Unknown,2
Middletown,Unknown,2
New York,Germany,2
Bridgehampton,USA,2
New York,France,2
Salmon Falls,USA,2
Stillwater,USA,2
Branford,USA,2
Bucksport,USA,2
Manchester,Great Britain,2
"Copenhagen, Denmark",Unknown,2
Ellsworth,Me.,2
Fairhaven,Portugal,2
Fairhaven,Massachusetts,2
New Bedford,Maine,2
Smithfield,Unknown,2
North Yarmouth,Unknown,2
Fair Haven,Great Britain,2
Maryland,USA,2
Hempstead,Unknown,2
Grafton,Unknown,2
Cherry Valley,Unknown,2
Gaines,Unknown,2
East Greenwich,Unknown,2
"Camden, Nj",Unknown,2
Yonkers,Unknown,2
Illinois,Unknown,2
"Athol, Ma",Unknown,2
Cape Town,Unknown,2
"Pine Plains, Ny",Unknown,2
"Portland, Ct",Unknown,2
Raynham,USA,2
Elizabeth,Unknown,2
Westmoreland,N.H.,2
Boston,Mass.,2
"Milo, Ny",Unknown,2
"New Bern, Nc",Unknown,2
"Herkimer, Ny",Unknown,2
"Hackensack, Nj",Unknown,2
Batavia,Unknown,2
"Fairfield, Vt",Unknown,2
Mashpee,USA,2
Coast Of Africa,Unknown,2
Ipswich,Unknown,2
Pembroke,USA,2
Bristol,Great Britain,2
Pembroke,Unknown,2
Elizabethtown,USA,2
Mendon,USA,2
New London,Ireland,2
Preston,Unknown,2
Ashford,USA,2
Unknown,Sweden,2
East Chester,USA,2
Bethlehem,USA,2
Detroit,USA,2
Mohawk,USA,2
Red Hook,USA,2
"New Brunswick, Nj",USA,2
Eastown,Unknown,2
Warwick,Unknown,2
"Orleans, Ma",Unknown,2
Montpelier,Unknown,2
"Chelsea, Vt",Unknown,2
Sunbury,Unknown,2
"Hartford, Me",Unknown,2
"Northfield, Ma",Unknown,2
"Morristown, Ny",Unknown,2
"Coventry, Ct",Unknown,2
Pocasset,Unknown,2
"Ware, Ma",Unknown,2
"Piermont, Ny",Unknown,2
"Charlestown, Sc",Unknown,2
"Westerly, Ri",Unknown,2
"New Orleans, La",Unknown,2
Gardner,Unknown,2
"Copake, Ny",Unknown,2
New Brunswick,Unknown,2
Munroe,Unknown,2
Amherst,Unknown,2
New Rochelle,Unknown,2
Pomfret,Unknown,2
Annapolis,Unknown,2
New London,Naturalized,2
Fogo,Cape De Verde,2
Pittsburgh,USA,2
Windham,Unknown,2
Catskill,USA,2
"Kirkville, Ny",Unknown,2
Bremen,Unknown,2
Saint Maria,Unknown,2
Brookfield,Unknown,2
"Paita, Peru",Unknown,2
"Cranston, Ri",Unknown,2
"Princeton, Nj",Unknown,2
"Milwaukee, Wi",Unknown,2
Londonderry,Unknown,2
Cocksaxie,USA,2
Brunswick,USA,2
Southwick,USA,2
Millbury,USA,2
Noank,USA,2
"New London, Ct",Germany,2
Dutchess Co.,USA,2
Augusta,Unknown,2
Saint Thomas,Unknown,2
Dorchester,Unknown,2
Swansey ?,Unknown,2
Wilmington Nc,USA,2
Brunswick,Unknown,2
"Bristol, Vt",Unknown,2
"Dexter, Me",Unknown,2
Holden,Unknown,2
Harrisburg,Unknown,2
